Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Años de escolaridad promedio,Años de escolaridad promedio para la población de 18 años o más
14,Los Ríos,141,Valdivia,14106,Mariquina,"12,1","13,0"
14,Los Ríos,141,Valdivia,14107,Paillaco,"11,4","12,7"
14,Los Ríos,141,Valdivia,14108,Panguipulli,"12,0","13,0"
14,Los Ríos,142,Ranco,14201,La Unión,"11,7","13,1"
14,Los Ríos,142,Ranco,14202,Futrono,"10,8","12,2"
14,Los Ríos,142,Ranco,14203,Lago Ranco,"12,5","13,8"
14,Los Ríos,142,Ranco,14204,Río Bueno,"10,9","12,3"
10,Los Lagos,101,Llanquihue,10101,Puerto Montt,"11,5","13,2"
10,Los Lagos,101,Llanquihue,10102,Calbuco,"10,8","12,4"
10,Los Lagos,101,Llanquihue,10103,Cochamó,"11,5","12,5"
10,Los Lagos,101,Llanquihue,10104,Fresia,"10,0","11,7"
10,Los Lagos,101,Llanquihue,10105,Frutillar,"11,9","13,3"
10,Los Lagos,101,Llanquihue,10106,Los Muermos,"9,9","11,7"
10,Los Lagos,101,Llanquihue,10107,Llanquihue,"10,9","12,9"
10,Los Lagos,101,Llanquihue,10108,Maullín,"9,3","11,6"
10,Los Lagos,101,Llanquihue,10109,Puerto Varas,"12,5","14,2"
10,Los Lagos,102,Chiloé,10201,Castro,"11,6","13,1"
10,Los Lagos,102,Chiloé,10202,Ancud,"11,8","13,2"
10,Los Lagos,102,Chiloé,10203,Chonchi,"12,3","13,1"
10,Los Lagos,102,Chiloé,10204,Curaco de Vélez,"12,5","12,9"
10,Los Lagos,102,Chiloé,10205,Dalcahue,"10,8","12,1"
10,Los Lagos,102,Chiloé,10206,Puqueldón,"10,5","12,0"
10,Los Lagos,102,Chiloé,10207,Queilén,"11,7","12,7"
10,Los Lagos,102,Chiloé,10208,Quellón,"10,5","11,8"
10,Los Lagos,102,Chiloé,10209,Quemchi,"11,0","11,8"
10,Los Lagos,102,Chiloé,10210,Quinchao,"10,8","12,1"
10,Los Lagos,103,Osorno,10301,Osorno,"11,8","13,2"
10,Los Lagos,103,Osorno,10302,Puerto Octay,"11,7","13,3"
10,Los Lagos,103,Osorno,10303,Purranque,"11,4","12,5"
10,Los Lagos,103,Osorno,10304,Puyehue,"11,3","12,7"
10,Los Lagos,103,Osorno,10305,Río Negro,"11,0","13,2"
10,Los Lagos,103,Osorno,10306,San Juan de la Costa,"12,6","13,5"
10,Los Lagos,103,Osorno,10307,San Pablo,"12,1","13,8"
10,Los Lagos,104,Palena,10401,Chaitén,"11,5","13,0"
10,Los Lagos,104,Palena,10402,Futaleufú,"10,7","12,0"
10,Los Lagos,104,Palena,10403,Hualaihué,"11,3","13,1"
10,Los Lagos,104,Palena,10404,Palena,"9,3","10,7"
11,Aysén del General Carlos Ibáñez del Campo,111,Coyhaique,11101,Coyhaique,"11,6","13,0"
11,Aysén del General Carlos Ibáñez del Campo,111,Coyhaique,11102,Lago Verde,"9,3","9,5"
11,Aysén del General Carlos Ibáñez del Campo,112,Aysén,11201,Aysén,"11,1","12,2"
11,Aysén del General Carlos Ibáñez del Campo,112,Aysén,11202,Cisnes,"11,2","12,3"
11,Aysén del General Carlos Ibáñez del Campo,112,Aysén,11203,Guaitecas,"11,3","13,1"
11,Aysén del General Carlos Ibáñez del Campo,113,Capitán Prat,11301,Cochrane,"10,7","11,8"
