Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Viviendas particulares ocupadas con moradores presentes,Viviendas sin hacinamiento,Viviendas con hacinamiento medio,Viviendas con hacinamiento crítico,Índice de hacinamiento ignorado
9,La Araucanía,91,Cautín,9113,Perquenco,2.734,2.573,143,17,1
9,La Araucanía,91,Cautín,9114,Pitrufquén,10.139,9.604,487,47,1
9,La Araucanía,91,Cautín,9115,Pucón,12.372,11.662,605,105,0
9,La Araucanía,91,Cautín,9116,Saavedra,4.889,4.558,284,47,0
9,La Araucanía,91,Cautín,9117,Teodoro Schmidt,6.019,5.649,340,30,0
9,La Araucanía,91,Cautín,9118,Toltén,3.827,3.614,204,9,0
9,La Araucanía,91,Cautín,9119,Vilcún,11.166,10.444,654,68,0
9,La Araucanía,91,Cautín,9120,Villarrica,24.839,23.329,1.334,173,3
9,La Araucanía,91,Cautín,9121,Cholchol,4.519,4.193,303,23,0
9,La Araucanía,92,Malleco,9201,Angol,18.950,18.022,868,58,2
9,La Araucanía,92,Malleco,9202,Collipulli,8.654,8.209,409,34,2
9,La Araucanía,92,Malleco,9203,Curacautín,7.073,6.692,359,22,0
9,La Araucanía,92,Malleco,9204,Ercilla,2.764,2.521,219,24,0
9,La Araucanía,92,Malleco,9205,Lonquimay,3.739,3.401,325,11,2
9,La Araucanía,92,Malleco,9206,Los Sauces,2.690,2.539,141,10,0
9,La Araucanía,92,Malleco,9207,Lumaco,3.387,3.132,230,25,0
9,La Araucanía,92,Malleco,9208,Purén,4.482,4.229,241,11,1
9,La Araucanía,92,Malleco,9209,Renaico,3.776,3.554,209,12,1
9,La Araucanía,92,Malleco,9210,Traiguén,6.958,6.556,367,34,1
9,La Araucanía,92,Malleco,9211,Victoria,12.362,11.579,718,63,2
14,Los Ríos,141,Valdivia,14101,Valdivia,61.524,58.746,2.352,419,7
14,Los Ríos,141,Valdivia,14102,Corral,2.112,1.988,111,13,0
14,Los Ríos,141,Valdivia,14103,Lanco,6.364,6.084,244,36,0
14,Los Ríos,141,Valdivia,14104,Los Lagos,7.841,7.449,350,39,3
14,Los Ríos,141,Valdivia,14105,Máfil,2.925,2.802,108,15,0
14,Los Ríos,141,Valdivia,14106,Mariquina,8.134,7.653,437,40,4
14,Los Ríos,141,Valdivia,14107,Paillaco,7.225,6.844,353,28,0
14,Los Ríos,141,Valdivia,14108,Panguipulli,13.181,12.375,738,68,0
14,Los Ríos,142,Ranco,14201,La Unión,14.460,13.726,689,43,2
14,Los Ríos,142,Ranco,14202,Futrono,5.728,5.398,310,20,0
14,Los Ríos,142,Ranco,14203,Lago Ranco,4.065,3.811,225,29,0
14,Los Ríos,142,Ranco,14204,Río Bueno,12.833,12.157,614,62,0
10,Los Lagos,101,Llanquihue,10101,Puerto Montt,98.794,93.743,4.574,471,6
10,Los Lagos,101,Llanquihue,10102,Calbuco,13.345,12.631,650,64,0
10,Los Lagos,101,Llanquihue,10103,Cochamó,1.881,1.823,46,12,0
10,Los Lagos,101,Llanquihue,10104,Fresia,4.836,4.615,206,15,0
10,Los Lagos,101,Llanquihue,10105,Frutillar,8.081,7.640,403,38,0
10,Los Lagos,101,Llanquihue,10106,Los Muermos,6.627,6.318,288,21,0
10,Los Lagos,101,Llanquihue,10107,Llanquihue,6.095,5.725,325,41,4
10,Los Lagos,101,Llanquihue,10108,Maullín,5.940,5.731,189,20,0
10,Los Lagos,101,Llanquihue,10109,Puerto Varas,18.779,17.957,745,74,3
10,Los Lagos,102,Chiloé,10201,Castro,17.730,16.911,771,45,3
10,Los Lagos,102,Chiloé,10202,Ancud,15.566,15.013,497,56,0
10,Los Lagos,102,Chiloé,10203,Chonchi,6.308,5.988,285,34,1
